from_whitmore,taxon
Abies,ABIES
"Acer negundo",ACNEGUNA
"Acer pensylvanicum",ACPENSYL
"Acer rubrum",ACRUBRUM
"Acer saccharinum",ACSACNUM
"Acer saccharum",ACSACRUM
Acer,ACERX
"Alnus viridis subsp. crispa-type",ALCRISPA
"Alnus rubra",ALRUBRA
"Alnus cf. A. incana",ALRUGOSA
Alnus,ALNUSX
Ambrosia,AMBROSIA
Amorpha,AMORPHA
Anacardiaceae,ANACARDI
Apiaceae,APIACEAE
Aquifoliaceae,AQUIFOLI
Arceuthobium,ARCEUTHOBI
Arecaceae,ARECACEAE
Armeria,ARMERIA
Artemisia,ARTEMISIA
Asteraceae,ASTERX
"Asteraceae subf. Cichorioideae",ASTERCICHO
Betula,BETULA
Boraginaceae,BORAGINACEAE
Botrychium,BOTRYCHIUM
Brassicaceae,BRASSICACEAE
Cactaceae,CACTACEAE
Campanulaceae,CAMPANULACEA
Caprifoliaceae,CAPRIFOLIA
Carya,CARYA
Caryophyllaceae,CARYOPHYLL
Castanea,CASTANEA
Ceanothus,CEANOTHUS
Celtis,CELTIS
Cephalanthus,CEPHALANTH
Cercocarpus,CERCOCAR
Chenopodiaceae/Amaranthaceae,CHENOAMX
Chrysolepis/Lithocarpus,CHRYSOLEP
Cornus,CORNUS
Corylus,CORYLUS
Cupressaceae,CUPRESSA
Cyperaceae,CYPERACE
Dodecatheon,DODECATH
Dryas,DRYAS
Elaeagnaceae,ELAEAGNX
Ephedra,EPHEDRA
Equisetum,EQUISETU
"Erica scoparia",ERILEDCH
"Erica terminalis",ERIVACCI
Ericaceae,ERICACEX
Ericales,ERICALES
Eriogonum,ERIOGONUM
Euphorbiaceae,EUPHORB
Fabaceae,FABACEAE
Fagus,FAGUS
"Fraxinus nigra",FRAXNIGR
"Fraxinus pennsylvanica/F. americana-type",FRAXPNAM
Fraxinus,FRAXINUX
Iva,IVA
"Juglans cinerea",JUGCINER
"Juglans nigra",JUGNIGRA
"Juglans undiff.",JUGLANSX
"Koenigia islandica",KOENISLD
Lamiaceae,LAMIACEAE
Larix/Pseudotsuga,LARIXPSEU
Larrea,LARREA
Liliaceae,LILIACEAE
Liquidambar,LIQUIDAM
Liriodendron,LIRIODEN
"Lycopodium annotinum",LYCOANNO
"Lycopodium clavatum",LYCOCLAV
"Lycopodium dendroideum",LYCOCOMP
"Lycopodium fastigiatum",LYCOSELA
"Lycopodium undiff.",LYCOPODX
Magnoliaceae,MAGNOLIACE
Malvaceae,MALVACEAE
Moraceae,MORACEAX
Myricaceae,MYRICACX
Nyssa,NYSSA
Onagraceae,ONAGRACEAE
Osmundaceae,OSMUNDACEA
Ostrya/Carpinus,OSTRYCAR
Oxyria,OXYRIA
Papaveraceae,PAPAVERX
Pedicularis,PEDICULARI
"Picea glauca",PICGLAUC
"Picea mariana",PICMARIA
"Picea undiff.",PICEAX
"Pinus diploxylon",PINDIPLO
"Pinus haploxylon",PINHAPLO
"Pinus undiff.",PINUSX
Plantaginaceae,PLANTAGINX
Platanus,PLATANUS
Poaceae,POACEAE
Polemoniaceae,POLEMONI
Polygonaceae,POLYGONAX
"Polygonum bistortoides",POLYGBIS
"Polygonum undiff.",POLYGONMX
"Polygonum viviparum",POLYGVIV
Polypodiaceae,POLYPOD
Populus,POPULUS
Potentilla,POTENTILLA
Prosopis,PROSOPIS
Pteridium,PTERIDIUM
Quercus,QUERCUS
Ranunculaceae,RANUNCUL
Rhamnaceae/Vitaceae,RHAMNACEAE
Rosaceae,ROSACEAX
Rubiaceae,RUBIACEAE
Rubus,RUBUS
Rumex,RUMEX
Rumex/Oxyria,RUMEOXYR
Salix,SALIX
Sanguisorba,SANGUI
Sarcobatus,SARCOBATUS
"Saxifraga cernua",SXFRACER
"Micranthes hieracifolia",SXFRAHIE
"Saxifraga oppositifolia",SXFRAOPP
"Saxifraga tricuspidata",SXFRATRI
Saxifragaceae,SXFRAGAX
Scrophulariaceae,SCROPHUL
Selaginella,SELAGINE
"Shepherdia canadensis",SHEPHERDIA
Sphagnum,SPHAGNUM
Taxodium,TAXODIUM
Taxus,TAXUS
Thalictrum,THALICTRUM
Tilia,TILIA
"Tsuga heterophylla",TSUGHETE
"Tsuga mertensiana",TSUGMERT
"Tsuga undiff.",TSUGAX
Ulmus,ULMUS
Urticaceae,URTICACX
Xanthium,XANTHIUM
